,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,Southernly distribution (place),,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,,,,
Aulacorhynchus_sulcatus,Groove-billed Toucanet,131.7,31,23,McNab and Bosque 2001,,,,"San Pedro de la Sierra, Magdalena, Columbia","Carrisillar, Venezuela (southwest of Parque Nacional Yurubí; in the mountains)","Parque Nacional Macarao, Venezuela (West of Caracas)","Parque Nacional Macarao, Venezuela (West of Caracas)","El Junquito, Venezuela (west of Caracas)","Parque Nacional Sierra Nevada, Venezuela (just north of Pico Bolívar)","Parque Nacional Sierra Nevada, Venezuela (","Parque Nacional Sierra de la Culata, Venezuela (northeast of Venezuela)","Parque Nacional El Tamá, Venezuela (South of San Cristobal)","Carrizal, Quita Soles, Venezuela (Northeast of Pico Humboldt)",June 14,December 30,January 6,May 22,February 15,87.76,78.18,n/a,84.27,81.36,79,75,n/a,79,75,93,81,n/a,91,90,December 12,September 18,February 25,June 15,May 7,77.76,84.76,81.26,78.95,78.85,73,77,73,75,82,84,93,88,82,95,100,90,97,93,100,95,99,99,102,102,73,70,68,75,73,72,66,70,70,70,85.04,79.16,81.33,82.62,80.76,81.51,80.89,81.45,82.41,81.63,,,
Baeolophus_wollweberi,Bridled Titmouse,10,38.6,,Weathers and Greene 1998,Not in the shared folder/ AGJ edits (9/15-added),,,"Prescott National Forest, Prescott, Arizona","Williams, Arizona (Coconino; southwest of Flagstaff)","Sycamore Canyon, Yavapai, Arizona","Yavapai, Arizona (west of Flagstaff)","Sycamore Canyon, Yavapai, Arizona","Cerro El Jovero, Mexico (Southeast of Colima, south of Cerro las Conchas)","Parque Ecológico Estatal Omiltemi, Mexico (west of Chilpancingo)","Vieja Estación de Ferrocarril de Erongaricuaro, Mexico (just north of Pátzcuaro, south of León)","Parque Nacional Volcán Nevado de Colima, Mexico (South of Guadalajara)","Parque Volcán Nevado de Colima, Mexico (Ciudad Guzman) ",July 3,April 18,January 29,March 16,February 16,74.96,43.87,37.13,51.43,48.29,58,30,23,34,30,86,60,54,69,65,May 22,May 1,June 18,January 15,May 20,76.19,83.13,72.36,71.9,80.19,66,77,64,63,73,84,90,77,79,86,97,81,101,101,91,n/a,102,n/a,n/a,n/a,14,22,16,20,23,n/a,70,n/a,n/a,n/a,60.52,51.62,55.03,60.13,53.68,n/a,81.98,n/a,n/a,n/a,,,
Bubo_virginianus,Great Horned Owl,1000,32.2,20.3,"Ganey, Balda and King 1993",,,,"Kanuti Lake, Yukon-Koyukuk, Alaska","Tolsona Wilderness, Valdez-Cordova, Alaska","Yukon, Canada (North of Kluane National Park and Reserve)","Healy Lake, Southeast Fairbanks, Alaska","Shageluk, Yukon, Alaska","Primavera, Chile (near Puerto Percy)","Monumento Natural Laguna de los Cisnes, Porvenir, Chile (east of Punta Arenas)","Languiñeo, Argentina (Piedra Parada, Northeast of Parque Nacional Corcovado)","Chos Malal, Argentina (South of Volcan Domuyo)","Lago Argentino, Argentina (East of Isla Wellington)",May 21,June 8,July 7,September 3,May 9,51.75,48.63,68.625,54.29,50.92,46,43,51,39,32,61,55,83,70,64,November 11,June 11,January 3,January 2,April 7,50.4,30,48,77.55,43.8,45,23,45,59,32,59,39,52,91,50,89,68,n/a,88,n/a,70,73,93,102,70,7,37,n/a,-35,n/a,32,14,13,28,23,45.54,50.76,n/a,38.27,n/a,48.94,39.34,52.41,68.09,43.55,,,
Cacatua_roseicapilla,Galah Cockatoo,271,33,22.5,Dawson and Fisher 1982,,,No data available in ebird,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,,
Callipepla_californica,California Quail,149.6,37.5,27.3,Brush 1965,,,,"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Little Shuswap Lake Home, Columbia-Shuswap, British Columbia, Canada (northeast of Kamloops)","Salmon Arm, Coumbia-Shuswap, British Columbia, Canada","Walter Peak, Queenstown-Lakes District, New Zealand (on Lake Wakatipu)","Bannockburn, New Zealand","Glendhu Bay, Otago, New Zealand (Queenstown-Lakes District)","Futaleufú, Argentina (Reserva Nacional Futaleufú)","Flea Bay, Christchurch City, New Zealand",May 3,August 10,August 27,March 29,January 17,56.21,79.21,73.63,48.63,34.17,41,61,56,31,30,70,97,92,63,36,October 8,February 28,December 15,April 16,October 21,53.63,61.38,65.75,40.88,60.25,48,51,56,35,42,59,73,75,48,72,96,103,100,86,101,82,78,82,83,95,18,14,-3,25,13,30,25,39,20,31,62.21,48.32,48.51,50.65,53.81,53.18,46.69,62.23,45.99,56.07,,,
Callipepla_gambelii,Gambel's Quail,160.7,41.1,*,Smith et al. 2015,,,,"Mesquite, Nevada (south of Beaver Dam Wash National Conservation Area)","Moapa Valley, Clark, Nevada (North of Valley of Fire State Park)","Motoqua, Utah (north of Beaver Dam Wash National Conservation Area)","Yellowjacket Canyon, Montezuma, Colorado","Grand Junction, Mesa, Colorado (just east of Colorado National Monument)","Estación de Campo Navopatia, Mexico (north of Los Mochis, south of Navojoa)","Nueva Casa de Teras, Ciudad Obregón, Mexico","Reserva Especial de la Biosfera Cajon del Diablo, Laguna Grande, Mexico","East Redford, Presidio, Texas (near Big Bend Ranch State Park)","Estación de Campo Navopatia, Mexico (West of El Carrizo)",November 13,January 8,May 14,May 23,August 14,52.92,50.83,68.13,48.55,81.42,42,48,53,34,66,68,54,83,64,96,January 21,February 3,March 2,December 14,January 8,68.81,72.28,74.8,59.2,70.21,54,55,61,34,57,79,84,84,75,81,74,77,104,91,96,n/a,n/a,n/a,n/a,n/a,24,30,24,-11,-4,n/a,n/a,n/a,n/a,n/a,45.71,52.61,66.73,45.76,52.01,n/a,n/a,n/a,n/a,n/a,,,
Cardinalis_cardinalis,Northern Cardinal,40,34,*,Dawson and Bartholomew 1958,,,,"Brainerd, Minnesota (East of Lake Hubert)","Grand Forks, Minnesota","Detroit Lakes, Minnesota","Grand Rapids, Minnesota","Caplan, Quebec, Canada (between Bonventure and New Richmond)","Freshwater Creek Forest Reserve, Belize (north of Crooked Tree Wildlife Sanctuary)","Barra Copalita, Mexico (northeast of Parque Nacional Huatulco)","Salchi, Mexico (southwest of Parque Nacional Huatulco)","Parque Nacional Huatulco, Mexico","Puerto Escondido, Mexico (Oaxaca)",June 19,January 2,May 13,February 12,July 18,59.38,5.17,68.04,-5.22,59.92,51,-5,45,-14,54,77,14,86,3,65,February 26,December 18,June 29,January 12,May 26,81,77.06,81.07,82.69,87.3,72,70,73,73,75,86,82,86,90,93,93,93,95,85,89,91,n/a,n/a,n/a,n/a,-22,-23,35,-28,3,66,n/a,n/a,n/a,n/a,48.83,40.35,62.95,37.97,48.96,82.51,n/a,n/a,n/a,n/a,,,
Cardinalis_cardinalis,Northern Cardinal,42.13,35.5,22,Pollock et al. 2019,Summer,,,"Brainerd, Minnesota (East of Lake Hubert)","Grand Forks, Minnesota","Detroit Lakes, Minnesota","Grand Rapids, Minnesota","Caplan, Quebec, Canada (between Bonventure and New Richmond)","Freshwater Creek Forest Reserve, Belize (north of Crooked Tree Wildlife Sanctuary)","Barra Copalita, Mexico (northeast of Parque Nacional Huatulco)","Salchi, Mexico (southwest of Parque Nacional Huatulco)","Parque Nacional Huatulco, Mexico","Puerto Escondido, Mexico (Oaxaca)",June 19,January 2,May 13,February 12,July 18,59.38,5.17,68.04,-5.22,59.92,51,-5,45,-14,54,77,14,86,3,65,February 26,December 18,June 29,January 12,May 26,81,77.06,81.07,82.69,87.3,72,70,73,73,75,86,82,86,90,93,93,93,95,85,89,91,n/a,n/a,n/a,n/a,-22,-23,35,-28,3,66,n/a,n/a,n/a,n/a,48.83,40.35,62.95,37.97,48.96,82.51,n/a,n/a,n/a,n/a,,,
Cardinalis_cardinalis,Northern Cardinal,42.13,32,14.7,Pollock et al. 2019,Winter,,,"Brainerd, Minnesota (East of Lake Hubert)","Grand Forks, Minnesota","Detroit Lakes, Minnesota","Grand Rapids, Minnesota","Caplan, Quebec, Canada (between Bonventure and New Richmond)","Freshwater Creek Forest Reserve, Belize (north of Crooked Tree Wildlife Sanctuary)","Barra Copalita, Mexico (northeast of Parque Nacional Huatulco)","Salchi, Mexico (southwest of Parque Nacional Huatulco)","Parque Nacional Huatulco, Mexico","Puerto Escondido, Mexico (Oaxaca)",June 19,January 2,May 13,February 12,July 18,59.38,5.17,68.04,-5.22,59.92,51,-5,45,-14,54,77,14,86,3,65,February 26,December 18,June 29,January 12,May 26,81,77.06,81.07,82.69,87.3,72,70,73,73,75,86,82,86,90,93,93,93,95,85,89,91,n/a,n/a,n/a,n/a,-22,-23,35,-28,3,66,n/a,n/a,n/a,n/a,48.83,40.35,62.95,37.97,48.96,82.51,n/a,n/a,n/a,n/a,,,
Carpodacus_cassinii (Haemorhous_cassinii),Cassin's Finch,28.1,37.5,22,Weathers et al. 1980,,,,"Cariboo, British Columbia, Canada","Cariboo, British Columbia, Canada","Thompson-Nicola, British Columbia, Canada","Cariboo, British Columbia, Canada","Dog Creek, Cariboo, British Columbia, Canada","Parque Nacional Sierra de San Pedro Mártir, Mexico","Bent, New Mexico","Parque Nacional Sierra de San Pedro Mártir, Baja California, Mexico","Gilman, Sandoval, New Mexico","Hermosa, New Mexico",March 15,August 8,May 24,May 29,May 23,42.46,73.29,52.46,58,63.58,34,55,44,49,52,52,86,63,64,73,June 11,February 21,June 3,January 10,March 7,95.71,34.92,88.45,23.25,51.68,76,26,72,17,37,110,44,104,32,62,n/a,n/a,94,n/a,n/a,n/a,108,n/a,84,85,n/a,n/a,36,n/a,n/a,n/a,16,n/a,8,25,n/a,n/a,62.33,n/a,n/a,n/a,68.62,n/a,44.84,61.84,,,
Cathartes_aura,Turkey Vulture,1380.3,40,25.6,"Arad and Bernstein, 1988",,,,"St. Paul, Alberta, Canada","Valemount, British Columbia, Canada (George Hicks Regional Park)","Rumsey Natural Area, Drumheller, Alberta, Canada","Prince Albert, Saskatchewan, Canada","Kenora, Ontario, Canada","Parque Etnobotánico Omora, Cabo de Hornos, Chile","Ushuaia, Argentina","Cerro Bandera, Cabo de Hornos, Chile","Isla Hornos, Cabo de Hornos, Chile","Isla Hornos, Cabo de Hornos, Chile",May 29,April 28,July 15,September 9,June 16,74.67,56.16,72.21,49.88,58.63,64,41,57,39,48,82,66,88,61,68,August 28,February 26,February 2,December 2,October 20,37.86,48.08,49.87,46.43,35.5,34,45,39,37,32,43,55,59,54,39,n/a,n/a,90,78,90,73,75,68,61,68,n/a,n/a,-24,3,37,25,32,18,37,32,n/a,n/a,37.86,39.37,63.9,42.56,46.71,43.28,46.45,44.54,,,
Collocalia_esculenta,Glossy Swiftlet,6.8,34,31.5,"McNab and Bonaccorso, 1995",,,,"Karakelong Island, Indonesia","Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia","Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia","Tangkoko Batuangus National Park, Sulawesi Utara, Soloman Islands, Indonesia","Sulawesi Utara, Sangihe Island, Indonesia (near Mount Awu)","Tetepare Nature Preserve, Tetepare, Solomon Islands","Rennell Island, Solomon Islands","Varirata National Park, Papua New Guinea","San Cristobal, Soloman Islands","near Baghare, Solomon Islands (San Cristobal)",September 4,September 16,July 24,January 16,May 11,81.125,80.83,81.13,80.53,81,74,73,77,73,76,87,89,86,91,86,March 28,July 19,July 25,December 27,November 17,80,80.5,78.64,79.56,n/a,75,70,75,73,n/a,90,90,86,90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Collocalia_vanikorensis (Aerodramus_vanikorensis),Uniform Swiftlet,11.6,34,30,"McNab and Bonaccorso, 1995",,,,"Karakelong Island, Indonesia","Maluku Utara, Indonesia (Southwest of Halmahera)","Tangkoko Batuangus, Sulawesi Utara, Indonesia (north of Bitung)","Weda Forest, Maluku Utara, Indonesia","Tangkoko Batuangus, Sulawesi Utara, Indonesia","Port Vila, Vanuatu ","Pango Point, Port Vila, Vanuatu","Kuto, Isle of the Pines, New Caledonia","Alotau, Papua New Guinea","Pango Point, Port Vila, Vanuatu",November 21,September 11,March 11,February 28,March 25,80.75,81.38,80.9,78.5,78,76,76,73,77,70,86,88,93,80,90,May 26,December 21,October 18,July 6,October 4,72.91,78.86,n/a,79.63,73.75,64,73,n/a,75,68,84,86,n/a,84,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,
Columba_livia,Rock Pigeon,314.6,36.5,23,Calder and Schmidt-Nielsen 1967,,,,"Ugolnye Kopi, Russia","Vattarnesvegur, Fjarðabyggð, Iceland","Kiruna, Sweden","Vestmannaeyjabær, Iceland","Vadsø,  Norway (south of Varangerhalvøya Nasjonalpark)","Reserva Costera Urbana, Güer Aike, Argentina (Rio Gallegos)","Puntas Arenas, Chile (east of Reserva Nacional Magallanes)","Reserva Costera Urbana, Güer Aike, Argentina (Rio Gallegos)","Reserva Costera Urbana, Güer Aike, Argentina (Rio Gallegos)","Reserva Costera Urbana, Güer Aike, Argentina (Rio Gallegos)",June 4,June 30,September 22,May 28,March 17,46.08,50.28,46.8,46,34.2,36,49,41,46,26,57,52,52,46,39,April 15,October 30,January 22,May 10,September 15,49.13,42.75,58.29,33.39,35,43,36,52,23,27,61,50,70,50,43,81,n/a,n/a,64,n/a,63,66,82,n/a,73,-35,n/a,n/a,28,n/a,23,28,23,n/a,25,33.66,n/a,n/a,45.6,n/a,40.93,47.29,45.97,n/a,47.72,,,
Coragyps_atratus,Black Vulture,2100,40,25,Larochelle et al. 1982,,,,"Mount Peter Hawk Watch, Orange, New York","Mifflin, Pennsylvania","Lancaster, Pennsylvania","Putnam, New York","Putnam, New York","Region de Aysén del General Carlos Ibáñez del Campo, Chile","Aysén, Chile","Tortel, Chile","Cisnes, Chile",Puerto Chacabuco,September 3,May 16,May 12,May 26,August 22,74.84,58.11,54.4,73.5,69.83,69,55,51,59,59,81,60,59,86,81,January 1,July 8,September 30,October 22,October 26,47.93,18.44,50,54.25,45.56,41,10,42,36,39,92,25,58,72,50,93,90,95,96,92,82,84,n/a,82,79,18,42,41,30,24,18,7,n/a,21,23,54.02,66.02,70.1,65.51,63.35,43.99,42.82,n/a,50.47,48.87,,,
Coturnix_japonica,Japanese Quail,166,36,23.2,Ben-Hamo et al. 2010,,,,"Zhangjiaying, China","Kabanskiy Zakaznik, Russia","Muravyevka, Russia","Muravyevka, Russia","Muravyevka, Russia","Selenga hills, Russia (northwest of Ulan Ude)","Ogushigo, Japan","Junzi Peak, China (near Sanming)","Komatsu, Japan (near Ishikawa)","Laotieshan, China (near Dalian)",June 21,June 12,May 1,April 22,April 12,75.04,67.78,58.13,39.38,36.43,70,48,37,25,15,81,82,75,51,45,March 10,November 18,July 9,February 18,September 27,23.5,52.6,80.7,37.71,70.16,18,43,74,32,57,28,61,88,45,84,100,91,97,92,95,86,75,n/a,82,n/a,32,-42,37,-26,12,-2,28,n/a,27,n/a,69.76,40.62,64.94,39.06,60.17,44.48,51.26,n/a,48.13,n/a,,,
Cyanoramphus_novaezelandiae,Red-fronted Parakeet/Red Crowned Parakeet,56.1,37,22,McNab and Salisbury 1995,,,,"Poor Knights Islands, Whangarei District, New Zealand","Poor Knights Islands, Whangarei District, New Zealand","Lady Alice Island, New Zealand","Lady Alice Island, New Zealand","Little Barrier Island, Auckland City, New Zealand","Enderby Island, New Zealand","Maclaren Bay, Adams Island, New Zealand","Enderby Island, New Zealand","Rakiura National Park, Ulva Island, New Zealand","Rakiura National Park, Ulva Island, New Zealand",February 28,February 24,February 4,December 2,January 21,59.75,57.86,67,63.42,67.77,54,56,62,61,63,62,60,74,69,75,January 9,January 15,January 6,November 11,November 17,58.5,72,52.88,51.5,48.5,47,57,48,48,43,71,85,57,55,52,77,77,81,73,82,84,89,76,76,81,50,49,53,57,36,39,40,40,38,36,61.19,61.27,62.35,63.74,59.83,58.94,60.28,55.64,52.25,53.63,,,
